source,target,generated,similarity,confidence
"표 20
내외부 기생충 구충제 시장의 참여기업","TABLE 20 
PLAYERS IN THE ENDECTOCIDES MARKET","표 20  
내외부 기생충 구충제 시장의 참여 기업",0.51376647,0.95
"세바 상테 애니멀레(프랑스)
§
EPRECIS Injection","Ceva Santé Animale (France) 
 
EPRECIS INJECTABLE","세바 상테 애니멀레(프랑스)  
§  
EPRECIS 주사",0.6337365,0.95
"
ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025","
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",동물 기생충약 시장 - 2025년까지의 글로벌 전망,0.93891317,0.95
"TABLE 21 
ENDECTOCIDES MARKET, BY COUNTRY, 2018–2025 (USD MILLION)","표 21
2018년-2025년 국가별 내외부 기생충 구충제 시장(백만 달러)","표 21  
국가별 엔데크토사이드 시장, 2018–2025 (백만 달러)",0.6041661,0.95
"Country/Region 
2018 
2019 
2020 
2025 
CAGR (2020-2025)","국가/지역
2018
2019
2020
2025
CAGR(2020-2025)","국가/지역  
2018  
2019  
2020  
2025  
CAGR (2020-2025)",0.99957764,1.0
"Source: World Health Organization (WHO), International Federation for Animal Health (IFAH), Animal Health Institute (AHI), American 
Pet Products Association (APPA), National Office Of Animal Health (NOAH), Companion Animal Parasite Council (CAPC), American 
Veterinary Medical Association (AVMA), Federation of Asian Veterinary Associations (FAVA), Food and Agriculture Organization 
Corporate Statistical Database (FAOSTAT), European Pet Food Industry Federation (FEDIAF). Statista, Press Releases, Company 
Websites, Annual Reports, Expert Interviews, and MarketsandMarkets Analysis","출처: 세계보건기구(WHO), 국제동물보건연맹(IFAH), 동물보건연구소(AHI), 미국 반려동물제품협회(APPA), 영국 동물보건기구(NOAH), 미국 반려동물기생충협의회(CAPC), 미국수의사회(AVMA), 아시아수의학회연맹(FAVA), UN","출처: 세계보건기구(WHO), 국제동물건강연맹(IFAH), 동물건강연구소(AHI), 미국애완동물제품협회(APPA), 국가동물건강사무소(NOAH), 반려동물 기생충 위원회(CAPC), 미국수의사협회(AVMA), 아시아수의사협회연맹(FAVA), 식량농업기구 기업 통계 데이터베이스(FAOSTAT), 유럽 애완동물 사료 산업 연합(FEDIAF). Statista, 보도자료, 회사 웹사이트, 연례 보고서, 전문가 인터뷰, MarketsandMarkets 분석.",0.93739724,0.95
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"7
시장 분석 및 예측: 동물 유형별","7 
ANIMAL PARASITICIDES MARKET, BY ANIMAL TYPE",시장 분석 및 예측: 동물 유형별,0.6136318,0.95
"주요 결과 n
2019년 반려동물은 51.4%의 시장 점유율로 동물용 기생충 구충제 시장의 가장 큰 비중을 차지했다. 이 부문은 예측기간 중 8.3%의 CAGR을 기록할 것으로 예상된다.","
Companion animals accounted for the largest share of the animal parasiticides market in 
2019—51.4%. This segment is also expected to grow at the highest CAGR of 8.3% during the 
forecast period.","주요 결과  
2019년 반려동물은 51.4%의 시장 점유율로 동물용 기생충 구충제 시장의 가장 큰 비중을 차지했다. 이 부문은 예측 기간 중 8.3%의 CAGR을 기록할 것으로 예상된다.",0.8571091,0.95
이 부문의 높은 성장은 주로 선진국의 반려동물에 대한 지출 증가와 반려동물 소유의 증가에 기인한다.,"
The high growth of this segment is primarily attributed to the increasing expenditure on pet 
animals and increasing companion animal ownership in developed countries.",이 부문의 높은 성장은 주로 선진국의 반려동물에 대한 지출 증가와 반려동물 소유의 증가에 기인한다.,0.9203485,0.95
"2019년 식용동물은 세계 동물용 기생충 구충제 시장의 48.6%를 차지했다. 이 부문은 2020년 46억 7,490만 달러에서 2025년 62억 2,910만 달러로 성장하여, 예측기간 중 5.9%의 CAGR을 기록할 것으로 예상된다.","
In 2019, food-producing animals accounted for 48.6% of the global animal parasiticides 
market. This segment is projected to reach 6,229.1 million by 2025 from USD 4,674.9 million 
in 2020, at a CAGR of 5.9% during the forecast period.","2019년 식용동물은 세계 동물용 기생충 구충제 시장의 48.6%를 차지했다. 이 부문은 2020년 46억 7,490만 달러에서 2025년 62억 2,910만 달러로 성장하여, 예측 기간 동안 5.9%의 CAGR을 기록할 것으로 예상된다.",0.87814593,0.95
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"세계 동물용 구충제 시장은 동물 유형에 따라 식용동물 및 반려동물로 세분화된다. 식용동물 부문은 소, 양, 염소, 돼지, 가금류, 기타 식용동물이 포함된다. 한편, 반려동물 부문은 개, 고양이, 말, 기타 반려동물이 포함된다.","Based on animal type, the global animal parasiticides market is segmented into food-producing animals and companion animals. The food-producing animals segment includes cattle, sheep and goats, pigs, poultry animals, and other food-producing animals; whereas, the companion animals segment includes dogs, cats, horses, and other companion animals.","세계 동물용 구충제 시장은 동물 유형에 따라 식용동물 및 반려동물로 세분화된다. 식용동물 부문은 소, 양, 염소, 돼지, 가금류, 기타 식용동물이 포함된다. 한편, 반려동물 부문은 개, 고양이, 말, 기타 반려동물이 포함된다.",0.8405267,0.95
"2019년 식용동물은 세계 동물용 구충제 시장의 48.6%를 차지했고, 반려동물은 51.4%를 차지했다.","In 2019, food-producing animals accounted for 48.6% of the global animal parasiticides market, while companion animals accounted for 51.4%.","2019년 식용동물은 세계 동물용 구충제 시장의 48.6%를 차지했으며, 반려동물은 51.4%를 차지했습니다.",0.89072925,0.95
"표 22
2018년-2025년 동물 유형별 동물용 기생충 구충제 시장(백만 달러)","TABLE 22 
ANIMAL PARASITICIDES MARKET, BY ANIMAL TYPE, 2018–2025 (USD MILLION)","표 22  
2018년-2025년 동물 유형별 동물용 기생충 구충제 시장(백만 달러)",0.88566774,0.95
"동물 유형
2018
2019
2020
2025
CAGR(2020-2025)","Animal Type 
2018 
2019 
2020 
2025 
CAGR (2020–2025)","동물 유형  
2018  
2019  
2020  
2025  
CAGR(2020-2025)",0.97937286,0.95
"반려동물
4,332.1
4,677.1
5,050.7
7,516.9
8.3%","Companion Animals 
4,332.1 
4,677.1 
5,050.7 
7,516.9 
8.3%","반려동물  
4,332.1  
4,677.1  
5,050.7  
7,516.9  
8.3%",0.92356896,0.95
"식용동물
4,191.1
4,425.8
4,674.9
6,229.1
5.9%","Food-producing Animals 
4,191.1 
4,425.8 
4,674.9 
6,229.1 
5.9%","식용동물  
4,191.1  
4,425.8  
4,674.9  
6,229.1  
5.9%",0.9273056,0.95
"총
8,523.2
9,102.9
9,725.6
13,746.0
7.2%","Total 
8,523.2 
9,102.9 
9,725.6 
13,746.0 
7.2%","총
8,523.2
9,102.9
9,725.6
13,746.0
7.2%",0.9905529,0.95
"출처: 세계보건기구(WHO), 국제동물보건연맹(IFAH), 동물보건연구소(AHI), 미국 반려동물제품협회(APPA), 영국 동물보건기구(NOAH), 미국 반려동물기생충협의회(CAPC), 미국수의사회(AVMA), 아시아수의학회연맹(FAVA), UN 식량농업기구 통계데이터베이스(FAOSTAT), 유럽 반려동물식품산업연합(FEDIAF). Statista, 보도자료, 기업 웹사이트, 연차보고서, 전문가 취재, MarketsandMarkets 분석","Source: World Health Organization (WHO), International Federation for Animal Health (IFAH), Animal Health Institute (AHI), American Pet Products Association (APPA), National Office Of Animal Health (NOAH), Companion Animal Parasite Council (CAPC), American Veterinary Medical Association (AVMA), Federation of Asian Veterinary Associations (FAVA), Food and Agriculture Organization Corporate Statistical Database (FAOSTAT), European Pet Food Industry Federation (FEDIAF). Statista, Press Releases, Company Websites, Annual Reports, Expert Interviews, and MarketsandMarkets Analysis","출처: 세계보건기구(WHO), 국제동물보건연맹(IFAH), 동물보건연구소(AHI), 미국 반려동물제품협회(APPA), 영국 동물보건기구(NOAH), 미국 반려동물기생충협의회(CAPC), 미국수의사회(AVMA), 아시아수의학회연맹(FAVA), UN 식량농업기구 통계데이터베이스(FAOSTAT), 유럽 반려동물식품산업연합(FEDIAF). Statista, 보도자료, 기업 웹사이트, 연차보고서, 전문가 취재, MarketsandMarkets 분석.",0.9660291,0.95
"\uD45C 23
2018년-2025년 
유형별 
반려동물용 
기생충 
구충제 
시장(백만 
달러) ","TABLE 23 
COMPANION ANIMAL PARASITICIDES MARKET, BY TYPE, 2018–2025 (USD MILLION)","펫 23  
2018년-2025년  
유형별  
반려동물용  
기생충  
구충제  
시장(백만  
달러)",0.8166751,0.95
"
ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025","
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",동물 기생충약 시장 - 2025년까지의 글로벌 전망,0.93891317,0.95
"TABLE 24 
COMPANION ANIMAL PARASITICIDES MARKET, BY COUNTRY, 2018–2025 (USD MILLION)","표 24
2018년-2025년 국가별 반려동물용 기생충 구충제 시장(백만 달러)","표 24  
반려동물 기생충 약품 시장, 국가별, 2018–2025 (백만 달러)",0.93483925,0.95
"Country/Region 
2018 
2019 
2020 
2025 
CAGR (2020–2025)","국가/지역
2018
2019
2020
2025
CAGR(2020-2025)","국가/지역  
2018  
2019  
2020  
2025  
CAGR (2020–2025)",0.9952085,0.95
"Source: World Health Organization (WHO), International Federation for Animal Health (IFAH), Animal Health Institute (AHI), American 
Pet Products Association (APPA), National Office Of Animal Health (NOAH), Companion Animal Parasite Council (CAPC), American 
Veterinary Medical Association (AVMA), Federation of Asian Veterinary Associations (FAVA), Food and Agriculture Organization 
Corporate Statistical Database (FAOSTAT), European Pet Food Industry Federation (FEDIAF). Statista, Press Releases, Company 
Websites, Annual Reports, Expert Interviews, and MarketsandMarkets Analysis","출처: 세계보건기구(WHO), 국제동물보건연맹(IFAH), 동물보건연구소(AHI), 미국 반려동물제품협회(APPA), 영국 동물보건기구(NOAH), 미국 반려동물기생충협의회(CAPC), 미국수의사회(AVMA), 아시아수의학회연맹(FAVA), UN","출처: 세계보건기구(WHO), 국제동물보건연맹(IFAH), 동물건강연구소(AHI), 미국애완동물제품협회(APPA), 국가동물보건사무소(NOAH), 동반동물기생충위원회(CAPC), 미국수의사협회(AVMA), 아시아수의사협회연맹(FAVA), 식량농업기구 기업 통계 데이터베이스(FAOSTAT), 유럽애완동물사료산업연합회(FEDIAF). Statista, 보도자료, 회사 웹사이트, 연례 보고서, 전문가 인터뷰, MarketsandMarkets 분석.",0.93841124,0.95
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"7.2.1.1
반려동물용 구충제 시장의 가장 큰 비중을 차지하는 개","7.2.1.1 
Dogs accounted for the largest share of the animal parasiticides 
market for companion animals","7.2.1.1  
반려동물용 구충제 시장의 가장 큰 비중을 차지하는 개",0.7910443,0.95
"개는 반려동물로 가장 많이 입양되는 동물이다. 그러나 인수공통감염병의 주된 원천으로, 특히 면역력이 약해진 인간에게 영향을 미친다. 뿐만 아니라 개의 진드기 감염은 인간에게 다양한 질병을 옮길 수 있다. 개에 대한 구충제 사용은 벼룩, 응애, 벼룩에 의한 알러지성 피부염, 귀진드기, 진드기 매개 질환, 곰팡이 감염, 모기 매개 질환 등의 질병 또는 기생충의 치료와 통제에 목적을 두고 있다. 구충제는 또한 개의 심장사상충증 예방을 위해 사용된다. 미국 CAPC의 기생충 질환 발병 지도에 따르면 2020년 미국에서 약 26억 마리의 개들이 라임병 검사를 받았으며, 그 가운데 11만 3,591마리가 양성 반응을 보였다.","Dogs are the most-adopted companion animals. However, they are also a major source of some zoonotic 
diseases, specifically for immunocompromised individuals. Moreover, tick infestations in dogs can transmit 
a wide range of diseases to humans. In dogs, parasiticides are used for the treatment and control of 
diseases or parasites such as fleas, mange, flea allergy dermatitis, ear mites, tick-borne diseases, fungal 
infections, and mosquito-borne diseases. Parasiticides are also used in dogs for the prevention of 
heartworm disease. According to the Companion Animal Parasite Council (CAPC) Parasite Prevalence Map, 
~2.6 billion dogs in the US were tested for Lyme’s disease in 2020; 113,591 tested positive.","개는 반려동물로 가장 많이 입양되는 동물이다. 그러나 인수공통감염병의 주된 원천으로, 특히 면역력이 약해진 인간에게 영향을 미친다. 뿐만 아니라 개의 진드기 감염은 인간에게 다양한 질병을 옮길 수 있다. 개에 대한 구충제 사용은 벼룩, 응애, 벼룩에 의한 알러지성 피부염, 귀진드기, 진드기 매개 질환, 곰팡이 감염, 모기 매개 질환 등의 질병 또는 기생충의 치료와 통제에 목적을 두고 있다. 구충제는 또한 개의 심장사상충증 예방을 위해 사용된다. 미국 CAPC의 기생충 질환 발병 지도에 따르면 2020년 미국에서 약 26억 마리의 개들이 라임병 검사를 받았으며, 그 가운데 11만 3,591마리가 양성 반응을 보였다.",0.88525635,0.95
"개의 입양 증가 및 기생충 감염의 증가는 이 부문의 시장 성장을 주도하고 있다. APPA의 미국 반려동물소유자조사에 따르면, 2019년 미국의 약 6,340만 가구가 개를 소유했다. 게다가 개의 소유율은 개발도상국에서 증가하고 있는데, 그 일례로 인도는 가처분소득의 상승으로 인한 개 소유율이 가파르게 성장했다고 보고되었다. 현재, 미국은 개를 대상으로 한 구충제에 대한 전 세계 수요의 가장 큰 비중을 차지하고 있다. 이는 미국의 1인당 동물보건 지출이 증가한 데 주로 기인한다. 그러나 미국 시장은 성숙이 접어들고 있으며, 개를 대상으로 한 구충제에 대한 수요의 대부분은 아시아태평양과 라틴 아메리카의 개발도상국 시장에서의 개의 개체수 증가가 주도하게 될 것이","The growing adoption of dogs and the rising incidence of parasite infections in these animals are key 
drivers of market growth in this segment. According to the APPA National Pet Owners Survey, about 63.4 
million households in the US owned a dog in 2019. Moreover, dog ownership is increasing in developing 
countries—India, for example, has reported high growth in dog ownership due to its rising disposable 
income. Currently, the US accounts for the largest share of the global demand for parasiticides for dogs. 
This is mainly due to larger per capita companion animal health spending in the US. However, the US 
market is slightly matured; much of the demand for parasiticides for dogs will be driven by the growing 
population of dogs in developing markets across APAC and Latin America.","개의 입양 증가 및 기생충 감염의 증가는 이 부문의 시장 성장을 주도하고 있다. APPA의 미국 반려동물소유자조사에 따르면, 2019년 미국의 약 6,340만 가구가 개를 소유했다. 게다가 개의 소유율은 개발도상국에서 증가하고 있는데, 그 일례로 인도는 가처분소득의 상승으로 인한 개 소유율이 가파르게 성장했다고 보고되었다. 현재, 미국은 개를 대상으로 한 구충제에 대한 전 세계 수요의 가장 큰 비중을 차지하고 있다. 이는 미국의 1인당 동물보건 지출이 증가한 데 주로 기인한다. 그러나 미국 시장은 성숙이 접어들고 있으며, 개를 대상으로 한 구충제에 대한 수요의 대부분은 아시아태평양과 라틴 아메리카의 개발도상국 시장에서의 개의 개체수 증가가 주도하게 될 것이다.",0.8323916,0.95
"개는 2019년 반려동물용 구충제 시장의 59.4%를 차지했다. 이 부문은 2020년 30억 1,920만 달러에서 2025년 46억 3,270만 달러 규모로 성장하여, 예측기간 중 8.9%의 CAGR을 기록할 것으로 예상된다.","In 2019, dogs accounted for 59.4% of the companion animal parasiticides market. This segment is 
projected to reach USD 4,632.7 million by 2025 from USD 3,019.2 million in 2020, at a CAGR of 8.9% 
during the forecast period.","개는 2019년 반려동물용 구충제 시장의 59.4%를 차지했다. 이 부문은 2020년 30억 1,920만 달러에서 2025년 46억 3,270만 달러 규모로 성장하여, 예측 기간 중 8.9%의 연평균 성장률(CAGR)을 기록할 것으로 예상된다.",0.86107516,0.95
"표 25
2018년-2025년 국가별 개 대상 반려동물용 기생충 구충제 시장(백만 달러)","TABLE 25 
COMPANION ANIMAL PARASITICIDES MARKET FOR DOGS, BY COUNTRY,  
2018–2025 (USD MILLION)","표 25  
2018년-2025년 국가별 개 대상 반려동물용 기생충 구충제 시장(백만 달러)",0.87011325,0.95
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"7.2.2.1
기생충 감염에 대한 높은 취약성으로 인한 고양이 대상 제품에 대한 수요 증가","7.2.2.1 
High vulnerability to parasitic infections has strengthened 
product demand in this segment","7.2.2.1  
기생충 감염에 대한 높은 취약성으로 인한 고양이 대상 제품에 대한 수요 증가",0.7566834,0.95
"고양이는 특히 미국 및 유럽의 가정에서 가장 흔히 찾아볼 수 있는 반려동물 중 하나이다. APPA에 따르면, 미국의 총 고양이 개체수는 2019년 9,400만 마리에 달했다. 또한 2019년 미국 반려동물소유자통계는 고양이 한 마리당 사료에 들어가는 기본 연간 지출액은 2011년 90달러에서 2019년 235달러로 상승했음을 보여주었다.","Cats are one of the most common pets in a majority of households across the globe, especially in the US 
and Europe. According to the APPA, the total cat population in the US was 94 million in 2019. Moreover, 
according to US Pet Ownership Statistics 2019, the basic annual expenditure on food per cat increased 
from USD 90 in 2011 to USD 235 in 2019.","고양이는 특히 미국 및 유럽의 가정에서 가장 흔히 찾아볼 수 있는 반려동물 중 하나이다. APPA에 따르면, 미국의 총 고양이 개체수는 2019년 9,400만 마리에 달했다. 또한 2019년 미국 반려동물 소유자 통계는 고양이 한 마리당 사료에 들어가는 기본 연간 지출액이 2011년 90달러에서 2019년 235달러로 상승했음을 보여주었다.",0.9403461,0.95
"표 26
2018년-2025년 국가별 고양이 대상 반려동물용 기생충 구충제 시장(백만 달러)","TABLE 26 
COMPANION ANIMAL PARASITICIDES MARKET FOR CATS, BY COUNTRY,  
2018–2025 (USD MILLION)","표 26  
2018년-2025년 국가별 고양이 대상 반려동물용 기생충 구충제 시장(백만 달러)",0.9016125,0.95
"국가/지역
2018
2019
2020
2025
CAGR(2020-2025)","Country/Region 
2018 
2019 
2020 
2025 
CAGR (2020–2025)","국가/지역  
2018  
2019  
2020  
2025  
CAGR(2020-2025)",0.98847663,0.95
"미국
408.1
436.0
465.8
654.7
7.0%","US 
408.1 
436.0 
465.8 
654.7 
7.0%","미국  
408.1  
436.0  
465.8  
654.7  
7.0%",0.9833683,0.95
"캐나다
32.4
34.7
37.1
52.9
7.3%","Canada 
32.4 
34.7 
37.1 
52.9 
7.3%","캐나다  
32.4  
34.7  
37.1  
52.9  
7.3%",0.9917385,0.95
"독일
75.2
80.4
86.0
121.5
7.2%","Germany 
75.2 
80.4 
86.0 
121.5 
7.2%","독일  
75.2  
80.4  
86.0  
121.5  
7.2%",0.9957123,0.95
"영국
65.6
70.8
76.5
113.4
8.2%","UK 
65.6 
70.8 
76.5 
113.4 
8.2%","영국  
65.6  
70.8  
76.5  
113.4  
8.2%",0.99428743,0.95
"프랑스
70.0
74.7
79.8
111.9
7.0%","France 
70.0 
74.7 
79.8 
111.9 
7.0%","프랑스  
70.0  
74.7  
79.8  
111.9  
7.0%",0.9983445,0.95
"스페인
56.6
61.4
66.7
101.4
8.7%","Spain 
56.6 
61.4 
66.7 
101.4 
8.7%","스페인  
56.6  
61.4  
66.7  
101.4  
8.7%",0.99351704,0.95
"이탈리아
43.1
46.3
49.6
71.2
7.5%","Italy 
43.1 
46.3 
49.6 
71.2 
7.5%","이탈리아  
43.1  
46.3  
49.6  
71.2  
7.5%",0.9952585,0.95
"중국
85.8
94.5
104.1
170.6
10.4%","China 
85.8 
94.5 
104.1 
170.6 
10.4%","중국  
85.8  
94.5  
104.1  
170.6  
10.4%",0.9953666,0.95
"
세계의\u0001 동물용\u0001 기생충\u0001 구충제\u0001 시장\u0001 -\u0001 2025년\u0001 글로벌\u0001 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
7.2.3.1\n말\u0001 기생충\u0001 통제에\u0001 대한\u0001 수요\u0001 증가로\u0001 인한\u0001 시장\u0001 성장,7.2.3.1 \nRising need for equine parasitic control to drive market growth,7.2.3.1\n말 기생충 통제에 대한 수요 증가로 인한 시장 성장,0.7766551,0.95
표\u0001 27\n2018년-2025년\u0001 국가별\u0001 말\u0001 대상\u0001 반려동물용\u0001 기생충\u0001 구충제\u0001 시장(백만\u0001 달러),"TABLE 27 \nCOMPANION ANIMAL PARASITICIDES MARKET FOR HORSES, BY COUNTRY,  \n2018–2025 (USD MILLION)","표 27  
2018년-2025년 국가별 말 대상 반려동물용 기생충 구충제 시장(백만 달러)",0.85150707,0.95
국가/지역\n2018\n2019\n2020\n2025\nCAGR(2020-2025),Country/Region \n2018 \n2019 \n2020 \n2025 \nCAGR (2020–2025),"국가/지역  
2018  
2019  
2020  
2025  
CAGR(2020-2025)",0.88622355,0.95
미국\n167.43\n175.87\n184.75\n238.78\n5.3%,US \n167.43 \n175.87 \n184.75 \n238.78 \n5.3%,"미국  
167.43  
175.87  
184.75  
238.78  
5.3%",0.85132957,0.95
캐나다\n6.62\n6.97\n7.34\n9.61\n5.5%,Canada \n6.62 \n6.97 \n7.34 \n9.61 \n5.5%,캐나다\n6.62\n6.97\n7.34\n9.61\n5.5%,0.98398316,0.95
독일\n20.54\n21.60\n22.72\n29.51\n5.4%,Germany \n20.54 \n21.60 \n22.72 \n29.51 \n5.4%,"독일  
20.54  
21.60  
22.72  
29.51  
5.4%",0.88438135,0.95
영국\n14.23\n15.10\n16.04\n21.87\n6.4%,UK \n14.23 \n15.10 \n16.04 \n21.87 \n6.4%,영국\n14.23\n15.10\n16.04\n21.87\n6.4%,0.97504115,0.95
프랑스\n15.33\n16.10\n16.90\n21.79\n5.2%,France \n15.33 \n16.10 \n16.90 \n21.79 \n5.2%,"프랑스  
15.33  
16.10  
16.90  
21.79  
5.2%",0.92021275,0.95
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"7.2.4
기타 반려동물","7.2.4 
OTHER COMPANION ANIMALS","7.2.4  
기타 반려동물",0.770581,0.95
"기타 반려동물로는 토끼, 파충류, 물고기, 새 등이 있다. APPA의 미국 반려동물소유자조사에 따르면, 2020년 미국 가정에서 반려동물로 소유한 새는 거의 2,030만 마리에 달했으며, 반려동물로서 파충류를 소유한 가구는 940만 가구, 물고기를 소유한 가구는 1,880만 가구였다. APPA는 이러한 소유율의 증가로 인해 이 동물들에 대한 보건의료 지출이 지속적으로 증가할 것으로 추정했다. 이는 해당 시장 부문의 성장을 주도할 것으로 기대된다.","Other companion animals include rabbits, reptiles, fish, and birds. According to the APPA National Pet Owners Survey, in 2020, there were nearly 20.3 million birds owned as pets by US households, while 9.4 million households owned reptiles, and 18.8 million owned fish as pets. With the growing ownership rate, the APPA estimated a continuous increase in healthcare expenditure on these animals. This is expected to contribute to the growth of this market segment.","기타 반려동물로는 토끼, 파충류, 물고기, 새 등이 있다. APPA의 미국 반려동물 소유자 조사에 따르면, 2020년 미국 가정에서 반려동물로 소유한 새는 거의 2,030만 마리에 달했으며, 반려동물로서 파충류를 소유한 가구는 940만 가구, 물고기를 소유한 가구는 1,880만 가구였다. APPA는 이러한 소유율의 증가로 인해 이 동물들에 대한 보건의료 지출이 지속적으로 증가할 것으로 추정했다. 이는 해당 시장 부문의 성장을 주도할 것으로 기대된다.",0.9019445,0.95
"기타 반려동물은 2019년 시장의 4.1%를 차지했다. 이 부문은 2020년 2억 110만 달러에서 2025년 2억 5,300만 달러 규모로 성장하여, 예측기간 중 4.7%의 CAGR을 기록할 것으로 예상된다.","In 2019, other companion animals accounted for 4.1% of the market. This segment is projected to reach USD 253.0 million by 2025 from USD 201.1 million in 2020, at a CAGR of 4.7% during the forecast period.","기타 반려동물은 2019년 시장의 4.1%를 차지했다. 이 부문은 2020년 2억 110만 달러에서 2025년 2억 5,300만 달러 규모로 성장하여, 예측 기간 중 4.7%의 CAGR을 기록할 것으로 예상된다.",0.8966662,0.95
"표 28
2018년-2025년 국가별 기타 반려동물용 기생충 구충제 시장(백만 달러)","TABLE 28 
OTHER COMPANION ANIMAL PARASITICIDES MARKET, BY COUNTRY,  2018–2025 (USD MILLION)","표 28  
2018년-2025년 국가별 기타 반려동물용 기생충 구충제 시장(백만 달러)",0.8788894,0.95
"국가/지역
2018
2019
2020
2025
CAGR(2020-2025)","Country/Region 
2018 
2019 
2020 
2025 
CAGR (2020–2025)","국가/지역  
2018  
2019  
2020  
2025  
CAGR(2020-2025)",0.98847663,0.95
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"식용동물은 2019년 세계 동물용 구충제 시장의 48.6%를 차지했다. 이 부문은 2020년 46억 7,490만 달러에서","In 2019, food-producing animals accounted for the largest share of 48.6% of the global animal parasiticides market. This segment is projected to reach USD 6,229.1 million by 2025 from USD 4,674.9 million in 2020,","식용동물은 2019년 세계 동물용 구충제 시장의 48.6%를 차지했다. 이 부문은 2020년 46억 7,490만 달러에서",0.87775934,0.95
"2025년 62억 2,910만 달러 규모로 성장하여, 예측기간 중 5.9%의 CAGR을 기록할 것으로 예상된다.",at a CAGR of 5.9% during the forecast period.,"2025년 62억 2,910만 달러 규모로 성장하며, 예측 기간 동안 5.9%의 연평균 성장률(CAGR)을 기록할 것으로 예상된다.",0.6798222,0.95
"표 29
2018년-2025년 유형별 식용동물용 기생충 구충제 시장(백만 달러)","TABLE 29 
FOOD-PRODUCING ANIMAL PARASITICIDES MARKET, BY TYPE,  
2018–2025 (USD MILLION)","표 29  
2018년-2025년 유형별 식용동물용 기생충 구충제 시장(백만 달러)",0.8630612,0.95
"표 30
2018년-2025년 국가별 식용동물용 기생충 구충제 시장(백만 달러)","TABLE 30 
FOOD-PRODUCING ANIMAL PARASITICIDES MARKET, BY COUNTRY,  
2018–2025 (USD MILLION)","표 30  
2018년-2025년 국가별 식용동물용 기생충 구충제 시장(백만 달러)",0.8732026,0.95
"출처:
임상연구기관협회(ACRO),
임상연구학회(CRS),
캐나다
임상연구협회(CRAC),
국제계약연구기구
협회","Source: Association of Clinical Research Organizations (ACRO), Clinical Research Society (CRS), Clinical Research Association of 
Canada (CRAC), Association of International Contract Research Organizations (AICROS),","출처:
임상연구기관협회(ACRO),
임상연구학회(CRS),
캐나다
임상연구협회(CRAC),
국제계약연구기구협회",0.95173645,0.95
"
Our World in Data의 2019년 보고서에 따르면, 세계 소고기 생산량은 2017년 6,956만 톤에서 2018년 7,161","According to the Our World in Data report in 2019, global beef production increased to 71.61 million tons in 2018 from 69.56 million in 2017.","Our World in Data의 2019년 보고서에 따르면, 세계 소고기 생산량은 2017년 6,956만 톤에서 2018년 7,161만 톤으로 증가했습니다.",0.90163106,0.95
"소는 2019년 식용동물용 구충제 시장의 47.5%를 차지했다. 이 부문은 2020년 22억 2,700만 달러에서 2025년","In 2019, cattle accounted for 47.5% of the food-producing animal parasiticides market. This segment is projected to reach USD 3,017.0 million by 2025 from USD 2,227.0 million in 2020,","소는 2019년 식용동물용 구충제 시장의 47.5%를 차지했다. 이 부문은 2020년 22억 2,700만 달러에서 2025년으로 예상된다.",0.8702616,0.95
"표 31
2018년-2025년 국가별 소 대상 식용동물용 기생충 구충제 시장(백만 달러)","TABLE 31 
FOOD-PRODUCING ANIMAL PARASITICIDES MARKET FOR CATTLE, BY COUNTRY,  2018–2025 (USD MILLION)","표 31  
2018년-2025년 국가별 소 대상 식용동물용 기생충 구충제 시장(백만 달러)",0.86779785,0.95
